"date","BCPBAB","BGVDEL","BGVFED","BGVFID","BGVLAB","BGVVAL","BHYAIM","BHYCOL","BINLOO","BMGLEX","BMMVAN","MBLAIM","MBLALL","MBLAMB","MBLCOM","MBLD.C","MBLEAV","MBLFID","MTRCAL","MTRPIL","MTRPUT","SAGAIM","SAGPUT","SAGVAL","SEIAMN","SEIFID","SEIOPP","SEISCO","SEIUNI","SGRMAT","SGRPHX","SGRSEL","SGRSEQ","SGRVAN","SINFID","SINSCD","SINTMP","SINTRP","SINUNI","SMKDFA","SMKVAN","SSS20C","SSSACN","SSSTRP","SSSVAN","S.P.500","CRSP.VW","CRSP.EW","CRSP.SC","TBILL","CORP.BD","GOVT.BD","MTG.BD","HIYLD.BD","FFMKT","FFSMB","FFHML"
199312,1.209,0.35,0.348,0.445,0.772,0.386,1.325,1.229,1.61,1.054,0.25,0.796,1.371,1.274,1.581,1.197,2.312,2.268,1.824,2.32,1.687,4.603,4.761,3.854,2.508,3.272,1.801,0.498,2.818,3.756,1.79,3.945,-1.355,1.122,6.134,9.466,8.105,10.524,11.882,1.894,1.225,4.291,3.719,4.917,4.714,1.261,1.767,3.603,3.937,0.226,0.594,0.505,0.751,1.101,1.79,1.07,0.34
199401,1.166,0.544,0.812,1.61,1.715,1.189,2.975,2.516,1.9,0.963,0.25,3.478,1.982,2.466,2.836,3.987,3.825,2.689,1.381,3.397,2.243,5.257,2.585,4.071,1.801,3.989,3.293,3.264,5.208,1.404,2.947,3.232,1.951,3.081,5.236,4.626,4.629,5.099,10.951,6.182,3.377,5.937,0.502,2.413,2.372,3.358,3.193,4.108,5.006,0.25,1.811,1.742,1.006,2.169,3.04,0.8,1.36
199402,-1.884,-0.698,-1.263,-2.967,-1.98,-1.41,0.185,0.033,-2.93,-0.89,0.23,-3.181,-3.192,-2.809,-2.352,-2.073,-2.518,-1.745,-1.329,-1.35,-0.997,0.271,-2.033,-0.057,-1.587,-2.756,-2.802,-2.234,-1.88,0.769,-1.939,-1.105,-1.47,-1.235,-1.785,-2.081,-1.722,-1.956,-4.487,-0.228,-2.715,-1.236,-1.213,-0.302,-0.931,-2.713,-2.667,-1.546,-1.232,0.212,-2.114,-3.125,-0.625,-0.459,-2.27,2.58,-1.78
199403,-1.944,-1.302,-1.057,-2.665,-3.068,-3.133,-3.242,-2.244,-2.65,-2.479,0.26,-3.991,-3.54,-3.317,-3.936,-3.045,-3.951,-4.104,-3.404,-3.06,-3.167,-6.714,-6.722,-8.338,-3.769,-4.321,-4.115,-3.489,-4.044,-2.443,-4.002,-5.587,-2.35,-4.539,-5.341,-4.936,-2.784,-5.267,-5.637,-4.462,-4.388,-6.166,-4.838,-5.697,-4.437,-4.356,-4.255,-5.057,-5.47,0.247,-2.907,-3.847,-2.468,-3.724,-4.41,-0.67,1.37
199404,-1.353,-0.59,-0.788,-0.953,-1.394,-3.088,-1.031,-1.587,-0.65,-0.681,0.27,-0.065,0,1.088,0.611,0.375,0.567,-0.857,-0.446,1.329,-0.947,0.638,0.712,-0.557,1.686,2.19,0.944,1.169,0.736,-1.408,1.471,-0.986,2.836,1.516,1.338,2.235,1.697,2.696,3.982,0.599,1.29,-0.571,0.835,-0.257,0.663,1.288,1.446,0.836,0.397,0.271,-0.902,-0.978,-0.63,-0.909,0.99,-1.53,1.98
199405,-0.072,-0.701,0.103,-0.085,0.01,-2.153,0.094,0.479,-2.2,0.188,0.3,-0.195,0.973,1.244,0.52,1.253,0.216,0.157,-0.344,3.115,0.638,-1.499,0.53,-3.609,0.332,1.274,0.936,0.058,0.203,-2.222,0.338,0.398,1.651,1.969,1.837,-0.068,0,-0.246,-0.745,-0.119,1.604,-2.921,-1.129,-2.126,-0.386,1.631,1.107,0.19,0.063,0.315,-0.317,-0.137,0.337,0.351,0.87,-1.48,0.77
199406,-0.079,0.143,0.105,-0.53,-0.349,-0.42,0.199,0.485,-3.526,-0.344,0.31,-1.905,-2.23,-1.406,-1.902,-1.7,-2.177,-1.032,-0.994,-1.749,-0.705,-5.796,-4.569,-6.649,-1.476,-1.334,-1.551,-1.467,-2.4,-4.708,-2.798,-4.762,-1.637,-2.929,-2.424,-0.326,-1.981,-1.563,-3.54,-2.622,-2.447,-4.983,-3.425,-4.016,-4.311,-2.5,-2.533,-2.385,-2.083,0.312,-0.195,-0.591,-0.246,0.108,-2.81,0.16,2.91
199407,1.914,0.934,1.112,2.232,1.883,1.17,-0.959,0.031,0.62,1.759,0.35,2.204,2.059,2.097,2.575,2.943,3.264,1.917,1.725,1.78,2.208,2.424,3.039,5.533,2.802,2.784,3.072,3.084,3.998,2.385,2.29,2.917,6.447,2.195,1.675,2.111,3.723,3.592,5.345,1.836,3.277,1.142,3.231,1.029,1.001,3.283,3.21,2.384,1.29,0.275,2.218,1.944,1.951,0.984,3.12,-1.65,0.75
199408,-0.072,0.284,0.246,-0.059,0.024,-0.356,0.418,0.032,-0.41,0.109,0.36,2.68,1.868,2.815,2.511,2.902,1.891,0.94,2.111,3.578,2.898,7.342,7.417,8.322,2.679,3.53,3.083,3.165,3.124,3.661,2.774,5.668,0.975,4.161,0.966,3.514,2.667,4.274,4.123,3.365,4.076,5.852,4.614,8.282,7.246,4.134,3.945,3.914,3.079,0.369,0.206,0.303,0.205,0.563,4.42,1.82,-3.45
199409,-0.75,-0.374,-0.712,-1.958,-1.457,-1.851,0.636,0.188,-0.51,-1.202,0.37,-2.626,-2.64,-1.455,-2.113,-2.371,-2.279,-0.703,-1.726,-3.244,-0.872,0.17,-0.25,2.783,-1.948,-2.331,-1.892,-1.355,-3.738,-2.729,-1.515,-2.299,-3.711,-1.74,-2.307,-2.973,-1.598,-2.552,-1.218,1.047,-2.446,-1.794,-1.252,1.066,0.902,-2.405,-2.255,-1.568,-0.799,0.366,-1.71,-2.328,-1.338,-0.257,-1.91,2.74,-2.08
